Rent_per_arable_acre_dollars,Milk_cows_per_square_mile,Difference_between_pasture_and_arable_land,Outcome
22.29,18.51,0.2,18.38
40.6,3.27,0.02,20.0
18.92,29.62,0.72,11.5
24.64,11.46,0.21,25.0
51.19,7.59,0.13,62.5
38.33,2.83,0.04,82.5
15.5,17.25,0.24,25.0
17.17,24.16,0.36,30.67
23.62,28.89,0.24,12.0
69.05,46.18,0.22,61.25
59.42,49.86,0.13,60.0
41.77,4.53,0.08,67.5
62.52,15.89,0.05,31.0
77.06,13.59,0.05,60.0
46.85,5.42,0.08,72.5
17.09,33.34,0.66,60.33
31.84,5.54,0.12,49.75
69.88,31.48,0.07,8.5
27.14,31.2,0.27,36.5
21.33,1.53,0.1,60.0
44.56,16.7,0.15,16.25
34.46,4.2,0.03,50.0
20.64,23.81,0.24,11.6
26.09,28.5,0.21,35.0
53.89,53.16,0.24,75.0
18.25,16.12,0.32,31.56
71.41,21.37,0.05,48.5
83.9,5.44,0.04,77.5
12.36,11.13,0.12,21.67
31.55,23.47,0.19,19.75
26.94,2.48,0.1,56.0
59.48,35.9,0.32,25.0
12.42,8.69,0.41,40.0
48.5,6.82,0.08,56.67
21.73,6.58,0.06,51.79
65.94,22.1,0.09,96.67
81.4,4.54,0.05,50.83
24.2,6.29,0.06,34.33
26.86,53.73,0.43,48.75
65.0,13.24,0.08,25.8
26.68,58.6,0.23,20.0
69.0,31.23,0.08,16.0
58.71,7.4,0.04,48.67
51.0,50.5,0.24,20.78
72.25,20.37,0.05,32.5
40.41,4.29,0.1,19.0
69.42,6.63,0.04,51.5
38.68,14.55,0.17,49.17
57.54,14.98,0.11,85.0
50.32,21.36,0.19,58.76
65.74,7.71,0.02,19.33
82.0,7.89,0.03,5.0
54.17,5.57,0.06,65.0
58.83,45.46,0.16,20.0
6.17,13.68,0.18,62.5
66.0,14.25,0.15,35.0
9.0,8.89,0.08,99.17
46.2,31.62,0.26,40.25
62.83,29.98,0.17,39.17
53.95,42.54,0.25,37.5
75.73,35.43,0.05,26.25
48.46,27.4,0.12,52.14
21.89,43.7,0.36,22.5
20.0,40.18,0.56,90.0
59.88,32.99,0.21,28.0
26.94,8.28,0.1,50.0
36.28,5.85,0.1,24.5
